x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-accel,Y-accel,Z-accel
-0.184662,0.39064,-1.634583,1.690728,44032.43665,2001-01-01 12:13:52.437 +0000,,,,-6.270377423,13.35880336,-75.19305181
-0.304764,0.505569,-1.602982,1.708225,44032.41706,2001-01-01 12:13:52.417 +0000,,,,-10.27714671,17.21520897,-69.78299209
-0.33577,0.501526,-1.389786,1.515181,44032.39747,2001-01-01 12:13:52.397 +0000,,,,-12.80325052,19.32952012,-66.52595617
-0.180527,0.429535,-1.253555,1.337345,44032.37788,2001-01-01 12:13:52.378 +0000,,,,-7.757992429,18.73460367,-69.61057864
0.069504,0.324707,-1.283188,1.325457,44032.35829,2001-01-01 12:13:52.358 +0000,,,,3.005840632,14.18049537,-75.49132046
0.033127,0.24881,-1.190338,1.216515,44032.33869,2001-01-01 12:13:52.339 +0000,,,,1.560418257,11.80180535,-78.09253328
0.075134,0.197617,-1.009155,1.031063,44032.3191,2001-01-01 12:13:52.319 +0000,,,,4.178870894,11.04986954,-78.16765802
0.250336,0.105042,-0.870468,0.91182,44032.29951,2001-01-01 12:13:52.300 +0000,,,,15.93491847,6.615179198,-72.67837869
0.340363,0.099411,-0.818207,0.891735,44032.27992,2001-01-01 12:13:52.280 +0000,,,,22.43815981,6.400659285,-66.56970368
0.344742,0.124298,-0.670898,0.764462,44032.26032,2001-01-01 12:13:52.260 +0000,,,,26.80533625,9.3575825,-61.35524498
0.388687,0.126434,-0.585953,0.714426,44032.24076,2001-01-01 12:13:52.241 +0000,,,,32.96012267,10.19349057,-55.10216451
0.53447,0.062149,-0.622757,0.823011,44032.22117,2001-01-01 12:13:52.221 +0000,,,,40.49699507,4.330766917,-49.17250013
0.59993,0.029663,-0.568817,0.827254,44032.20158,2001-01-01 12:13:52.202 +0000,,,,46.48605408,2.054906681,-43.44017582
0.580032,0.002701,-0.419998,0.716131,44032.18199,2001-01-01 12:13:52.182 +0000,,,,54.09134625,0.216100688,-35.90779738
0.680527,-0.006729,-0.446823,0.814133,44032.16239,2001-01-01 12:13:52.162 +0000,,,,56.7087665,-0.473568253,-33.28696946
0.766464,0.009857,-0.532455,0.933313,44032.1428,2001-01-01 12:13:52.143 +0000,,,,55.20807295,0.605129473,-34.78510909
0.796341,0.04451,-0.549225,0.968395,44032.12321,2001-01-01 12:13:52.123 +0000,,,,55.31882688,2.634394899,-34.55172283
0.754089,0.098907,-0.540558,0.933079,44032.10362,2001-01-01 12:13:52.104 +0000,,,,53.91781464,6.084824943,-35.40324793
0.760025,0.176498,-0.508575,0.931364,44032.08402,2001-01-01 12:13:52.084 +0000,,,,54.68980249,10.92389498,-33.09673533
