x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-axis,Y-axis,Z-axis
0.011078,-0.021576,-1.003601,1.003894,39658.58286,2001-01-01 11:00:58.583 +0000,,,,0.629859458,-1.227021267,-89.96641847
0.011017,-0.021698,-1.003296,1.003591,39658.56327,2001-01-01 11:00:58.563 +0000,,,,0.62676888,-1.234708918,-89.96618373
0.013184,-0.023087,-1.004013,1.004365,39658.54368,2001-01-01 11:00:58.544 +0000,,,,0.748922454,-1.311779078,-89.95966518
0.012543,-0.020905,-1.000458,1.000755,39658.52409,2001-01-01 11:00:58.524 +0000,,,,0.717652244,-1.196309946,-89.96596362
0.01088,-0.020782,-0.999146,0.999421,39658.50449,2001-01-01 11:00:58.504 +0000,,,,0.624149461,-1.192443657,-89.96844667
0.010864,-0.023819,-1.002914,1.003256,39658.48493,2001-01-01 11:00:58.485 +0000,,,,0.61847656,-1.35639655,-89.96084676
0.010742,-0.018417,-1.003693,1.003919,39658.46534,2001-01-01 11:00:58.465 +0000,,,,0.610721697,-1.047228926,-89.97405206
0.011444,-0.020676,-1.001572,1.00185,39658.44575,2001-01-01 11:00:58.446 +0000,,,,0.653329514,-1.180610514,-89.96805424
0.010681,-0.023438,-1.001297,1.001628,39658.42615,2001-01-01 11:00:58.426 +0000,,,,0.610034534,-1.339025562,-89.9620394
0.013443,-0.020187,-1.004364,1.004657,39658.40656,2001-01-01 11:00:58.407 +0000,,,,0.76319491,-1.146242237,-89.96644493
0.011703,-0.020599,-1.001221,1.001501,39658.38697,2001-01-01 11:00:58.387 +0000,,,,0.668584711,-1.177032476,-89.96788184
0.010849,-0.021271,-1.001816,1.0021,39658.36738,2001-01-01 11:00:58.367 +0000,,,,0.619047222,-1.214000019,-89.96739321
0.011063,-0.022171,-1.004547,1.004853,39658.34779,2001-01-01 11:00:58.348 +0000,,,,0.627806994,-1.258475837,-89.96498441
0.010605,-0.019943,-1.000351,1.000606,39658.32819,2001-01-01 11:00:58.328 +0000,,,,0.606931493,-1.141568637,-89.9707801
0.011047,-0.020401,-1.001572,1.00184,39658.3086,2001-01-01 11:00:58.309 +0000,,,,0.630674039,-1.16492259,-89.96921123
0.011642,-0.021957,-1.005066,1.005373,39658.28901,2001-01-01 11:00:58.289 +0000,,,,0.659985873,-1.245030091,-89.9647914
0.012955,-0.020538,-1.001465,1.001759,39658.26942,2001-01-01 11:00:58.269 +0000,,,,0.739744522,-1.172940259,-89.96626699
0.012497,-0.02272,-1.003952,1.004287,39658.24982,2001-01-01 11:00:58.250 +0000,,,,0.709999294,-1.291113024,-89.96162903
0.012222,-0.022293,-1.002808,1.00313,39658.23023,2001-01-01 11:00:58.230 +0000,,,,0.695974622,-1.269755094,-89.96307182
0.011795,-0.021301,-1.002274,1.002569,39658.21064,2001-01-01 11:00:58.211 +0000,,,,0.672406033,-1.214575459,-89.96611054
0.00882,-0.020309,-1.002747,1.002991,39658.19105,2001-01-01 11:00:58.191 +0000,,,,0.502364848,-1.157006504,-89.97198935
0.009308,-0.022598,-1.004211,1.004509,39658.17145,2001-01-01 11:00:58.171 +0000,,,,0.528563143,-1.283608898,-89.96592179
0.011444,-0.021545,-1.002686,1.002982,39658.15186,2001-01-01 11:00:58.152 +0000,,,,0.651855568,-1.227485064,-89.96599318
0.012863,-0.019211,-1.001297,1.001564,39658.13227,2001-01-01 11:00:58.132 +0000,,,,0.734776796,-1.097544131,-89.96941551
0.01265,-0.021851,-1.004761,1.005078,39658.11268,2001-01-01 11:00:58.113 +0000,,,,0.717562225,-1.239743384,-89.9636492
0.012772,-0.023071,-1.002457,1.002803,39658.09309,2001-01-01 11:00:58.093 +0000,,,,0.727774303,-1.314954734,-89.960256
0.013428,-0.018799,-1.001434,1.001701,39658.07349,2001-01-01 11:00:58.073 +0000,,,,0.766849891,-1.073702105,-89.96946579
0.010696,-0.022659,-1.003815,1.004127,39658.0539,2001-01-01 11:00:58.054 +0000,,,,0.607853814,-1.28805243,-89.96416597
0.009827,-0.021011,-1.004974,1.005242,39658.03431,2001-01-01 11:00:58.034 +0000,,,,0.557224831,-1.19166877,-89.96932715
0.011215,-0.019501,-0.999908,1.000161,39658.01472,2001-01-01 11:00:58.015 +0000,,,,0.642419145,-1.117248437,-89.97100347
0.010422,-0.022507,-1.003616,1.003923,39657.99512,2001-01-01 11:00:57.995 +0000,,,,0.592522317,-1.279929407,-89.96488114
0.011459,-0.023743,-1.001678,1.002025,39657.97553,2001-01-01 11:00:57.976 +0000,,,,0.653958655,-1.355389471,-89.96024547
